ordernumber;image;main;description;position;width;height;relations
G10086;http://shopware.p562114.webspaceconfig.de/media/image/26/36/fc/Babeczki-360g-x-7st-Browne-Karamel-i-Schokolad-DELECTA.jpg;1;;1;0;0;
G10087;http://shopware.p562114.webspaceconfig.de/media/image/22/24/9c/Babeczki-360g-x-7st-Browne-Macno-DELECTA.jpg;1;;1;0;0;
G10089;http://shopware.p562114.webspaceconfig.de/media/image/64/56/04/Babeczki-Nadziwane-315-gr-x-7-st-DELECTA.png;1;;1;0;0;
G10091;http://shopware.p562114.webspaceconfig.de/media/image/d3/64/e6/Babkini-300grx12st-Sonnenblumenkerne.jpg;1;;1;0;0;
G10092;http://shopware.p562114.webspaceconfig.de/media/image/cf/8b/a6/Babkini-600grx12st-Sonnenblumenkerne.jpg;1;;1;0;0;
G10093;http://shopware.p562114.webspaceconfig.de/media/image/8f/e1/3e/Babkiny-Semechki-solenye.jpg;1;;1;0;0;
G10094;http://shopware.p562114.webspaceconfig.de/media/image/c5/e0/8a/Babkini-600grx12st-SonnenblumenkerneLRpXEP2XLRIFK.jpg;1;;1;0;0;
G10095;http://shopware.p562114.webspaceconfig.de/media/image/8d/24/9c/Babkiny-Semechki-Zharenye.jpg;1;;1;0;0;
G10099;http://shopware.p562114.webspaceconfig.de/media/image/ba/22/e3/Bakal-Zurawina-suszona.jpg;1;;1;0;0;
G10102;http://shopware.p562114.webspaceconfig.de/media/image/44/eb/c6/bambino-dr-gerard.png;1;;1;0;0;
G10107;http://shopware.p562114.webspaceconfig.de/media/image/1f/d9/a6/Basmati-AKASH-5kg.jpg;1;;1;0;0;
G10106;http://shopware.p562114.webspaceconfig.de/media/image/0a/59/fd/Basmati-AKASH-1kg.jpg;1;;1;0;0;
G10111;http://shopware.p562114.webspaceconfig.de/media/image/26/fd/32/debowemocnepiwo_z1.png;1;;1;0;0;
G11945;http://shopware.p562114.webspaceconfig.de/media/image/8e/82/ec/tymbark-Granat1liter.jpg;1;;1;0;0;
G11932;http://shopware.p562114.webspaceconfig.de/media/image/e7/e0/6f/tymbark1ljablkogruszka.png;1;;1;0;0;
G11930;http://shopware.p562114.webspaceconfig.de/media/image/20/29/b8/tymbark-200ml-mix_z1.png;1;;1;0;0;
G11935;http://shopware.p562114.webspaceconfig.de/media/image/8c/d4/4c/Tymbark-2litr-x-6-st-Jabko-Mjata.jpg;1;;1;0;0;
G11931;http://shopware.p562114.webspaceconfig.de/media/image/b1/82/e4/Tymbark-1-75-Litr-x-6-st-Multiwitamin.jpg;1;;1;0;0;
G11934;http://shopware.p562114.webspaceconfig.de/media/image/58/25/af/tymbark2larbuz.png;1;;1;0;0;
G11936;http://shopware.p562114.webspaceconfig.de/media/image/64/bf/23/tymbark2lwisnia_z1.png;1;;1;0;0;
G11937;http://shopware.p562114.webspaceconfig.de/media/image/db/7a/63/250ml-arbuz.jpg;1;;1;0;0;
