ordernumber;mainnumber;name;additionalText;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;from_EK;to_EK;price_H;pseudoprice_H;baseprice_H;from_H;to_H;active;instock;stockmin;description;description_long;shippingtime;added;changed;releasedate;shippingfree;topseller;keywords;minpurchase;purchasesteps;maxpurchase;purchaseunit;referenceunit;packunit;unitID;pricegroupID;pricegroupActive;laststock;suppliernumber;weight;width;height;length;ean;similar;configuratorsetID;configuratortype;configuratorOptions;categories;propertyGroupName;propertyValueName;accessory;imageUrl;main;attr1;attr2;attr3;purchasePrice;metatitle;;;;;;;;;;;
G11004;G11004;Lubuski Gin Original 37,5 % Vol 700mlx 12 st;;Eigenmarke;16;8,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;69;;;;;;;;;;;;;;;;;;6;11,94;;0
G11005;G11005;Lukow Schmalz Smalec Chilli 160g x 16stk;;Eigenmarke;16;1,19;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;16;16;500;1;16;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;6;10,74;;0
G11006;G11006;Lukow Schmalz Smalec Curry 160g x 16stk;;Eigenmarke;16;1,19;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;16;16;500;1;16;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;20;13,8;;0
G11007;G11007;Lukow Schmalz Smalec Czarnuszka 160g x 16stk;;Eigenmarke;16;1,19;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;16;16;500;1;16;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;16;12,64;;0
G11008;G11008;Lukow Schmalz Smalec Czosnek 160g x 16stk;;Eigenmarke;16;1,19;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;16;16;500;1;16;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;12;5,88;;0
G11009;G11009;Lukow Schmalz Smalec Grzybami 160g x 16stk;;Eigenmarke;16;1,19;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;16;16;500;1;16;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;12;5,88;;0
G11010;G11010;Lukow Schmalz Smalec Grzybami 160g x 16stk;;Eigenmarke;16;1,19;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;16;16;500;1;16;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;12;5,88;;0
G11011;G11011;Lukowska Schmalez 300gr x 16st;;Eigenmarke;5;1,19;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;16;16;500;1;16;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;10;5,5;;0
G11012;G11012;Lunjak Buraczki z Harzanem 480g x 8St.;;Eigenmarke;5;0,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;8;8;500;1;8;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;8;6,8;;0
G11013;G11013;Lunjak Kapusta Kwaschona Lwowska 520 ml  x 8 st;;Eigenmarke;5;1,09;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;8;8;500;1;8;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;8;7,12;;0
